% This is the saturated open-circuit characteristic 
% shown in Figure P8-1.  The first column is the field 
% current in amps, and the second column is the
% open-circuit terminal voltage in volts for a speed
% of 1200 r/min..  To use this file in MATLAB, type 
% "load p81_maf.dat".  The data will be loaded into an 
% N x 2 array named "p81_mag", with the first column 
% containing If and the second column containing the 
% open-circuit voltage.  MATLAB function "interp1" can 
% be used to recover a value from this curve.
         0   12.5495
    0.0400   27.0941
    0.0800   41.3555
    0.1200   55.2869
    0.1600   68.8473
    0.2000   82.0018
    0.2400   94.7208
    0.2800  106.9800
    0.3200  118.7600
    0.3600  130.0461
    0.4000  140.8278
    0.4400  151.0988
    0.4800  160.8565
    0.5200  170.1017
    0.5600  178.8386
    0.6000  187.0743
    0.6400  194.8185
    0.6800  202.0835
    0.7200  208.8836
    0.7600  215.2352
    0.8000  221.1564
    0.8400  226.6665
    0.8800  231.7863
    0.9200  236.5373
    0.9600  240.9419
    1.0000  245.0231
    1.0400  248.8040
    1.0800  252.3078
    1.1200  255.5576
    1.1600  258.5763
    1.2000  261.3859
    1.2400  264.0079
    1.2800  266.4627
    1.3200  268.7698
    1.3600  270.9471
    1.4000  273.0109
    1.4400  274.9762
    1.4800  276.8557
    1.5200  278.6602
    1.5600  280.3983
    1.6000  282.0762
    1.6400  283.6975
    1.6800  285.2631
    1.7200  286.7711
    1.7600  288.2164
    1.8000  289.5911
    1.8400  290.8836
    1.8800  292.0792
    1.9200  293.1593
    1.9600  294.1019
    2.0000  294.8811
